iter	Passed	Remaining
0	136	136157
1	139	69595
2	142	47292
3	145	36149
4	147	29427
5	150	24995
6	153	21837
7	156	19448
8	159	17598
9	163	16153
10	166	14934
11	168	13902
12	171	13034
13	174	12299
14	177	11647
15	180	11078
16	182	10580
17	185	10129
18	188	9755
19	191	9391
20	194	9061
21	197	8767
22	200	8497
23	202	8249
24	205	8029
25	209	7834
26	211	7633
27	214	7457
28	217	7285
29	220	7136
30	223	6984
31	226	6844
32	229	6728
33	233	6620
34	235	6501
35	239	6401
36	241	6296
37	244	6193
38	247	6097
39	250	6007
40	253	5919
41	255	5837
42	258	5759
43	261	5682
44	264	5608
45	267	5549
46	270	5486
47	273	5420
48	276	5360
49	279	5301
50	281	5242
51	284	5186
52	287	5131
53	291	5101
54	293	5051
55	296	4999
56	299	4957
57	302	4911
58	306	4885
59	309	4843
60	311	4799
61	314	4757
62	317	4719
63	319	4679
64	322	4639
65	325	4601
66	327	4567
67	330	4535
68	333	4503
69	336	4469
70	339	4446
71	342	4415
72	345	4386
73	348	4357
74	352	4350
75	355	4323
76	358	4294
77	360	4264
78	363	4237
79	366	4212
80	369	4188
81	371	4163
82	374	4137
83	377	4112
84	380	4091
85	382	4069
86	385	4046
87	388	4025
88	397	4068
89	400	4049
90	403	4031
91	406	4013
92	409	3996
93	412	3976
94	415	3958
95	418	3938
96	421	3920
97	424	3904
98	426	3884
99	429	3867
100	432	3851
101	435	3832
102	438	3817
103	440	3799
104	443	3782
105	446	3764
106	448	3746
107	452	3733
108	454	3718
109	457	3702
110	460	3689
111	463	3673
112	466	3659
113	469	3646
114	471	3631
115	475	3621
116	477	3607
117	480	3593
118	483	3577
119	485	3563
120	488	3550
121	491	3534
122	493	3521
123	496	3507
124	499	3493
125	501	3479
126	504	3466
127	507	3454
128	509	3442
129	512	3431
130	515	3418
131	518	3407
132	521	3396
133	523	3384
134	527	3378
135	530	3367
136	532	3356
137	535	3345
138	538	3334
139	541	3324
140	543	3313
141	546	3302
142	549	3291
143	552	3281
144	554	3272
145	558	3264
146	560	3254
147	563	3245
148	566	3236
149	569	3226
150	571	3215
151	574	3207
152	577	3199
153	580	3189
154	584	3186
155	587	3176
156	590	3170
157	593	3161
158	595	3152
159	598	3142
160	601	3133
161	604	3125
162	606	3116
163	609	3107
164	612	3098
165	615	3090
166	618	3085
167	621	3076
168	624	3068
169	627	3061
170	629	3053
171	632	3045
172	635	3038
173	638	3030
174	641	3021
175	643	3014
176	646	3006
177	649	2998
178	652	2990
179	655	2984
180	657	2976
181	660	2969
182	663	2962
183	666	2954
184	669	2947
185	671	2940
186	674	2933
187	677	2926
188	680	2920
189	683	2913
190	686	2906
191	689	2900
192	691	2892
193	694	2886
194	697	2879
195	700	2874
196	703	2867
197	706	2861
198	709	2854
199	712	2851
200	715	2844
201	718	2837
202	721	2831
203	724	2825
204	726	2818
205	729	2811
206	732	2804
207	734	2798
208	738	2793
209	740	2786
210	743	2779
211	746	2773
212	748	2766
213	751	2760
214	754	2754
215	757	2748
216	759	2742
217	762	2735
218	765	2729
219	768	2723
220	770	2717
221	773	2711
222	776	2706
223	779	2700
224	782	2694
225	784	2688
226	787	2682
227	790	2677
228	793	2671
229	796	2666
230	799	2662
231	802	2657
232	805	2651
233	808	2646
234	811	2640
235	813	2635
236	816	2628
237	819	2623
238	822	2617
239	824	2611
240	827	2606
241	830	2601
242	833	2596
243	836	2592
244	839	2588
245	842	2583
246	845	2577
247	848	2572
248	851	2567
249	853	2561
250	856	2556
251	859	2552
252	862	2547
253	865	2541
254	868	2536
255	871	2531
256	873	2525
257	876	2520
258	879	2515
259	881	2509
260	884	2504
261	887	2498
262	889	2492
263	892	2487
264	894	2481
265	897	2476
266	901	2474
267	904	2470
268	907	2465
269	910	2460
270	912	2455
271	915	2450
272	918	2444
273	920	2439
274	923	2435
275	927	2431
276	930	2427
277	933	2423
278	935	2418
279	938	2413
280	941	2408
281	943	2403
282	946	2398
283	949	2394
284	952	2389
285	955	2385
286	958	2380
287	961	2375
288	963	2370
289	966	2366
290	969	2363
291	972	2358
292	975	2354
293	978	2350
294	981	2345
295	984	2341
296	986	2336
297	990	2332
298	993	2328
299	996	2324
300	999	2320
301	1002	2316
302	1005	2312
303	1007	2307
304	1010	2303
305	1013	2298
306	1016	2293
307	1018	2289
308	1021	2284
309	1024	2280
310	1027	2275
311	1029	2271
312	1032	2266
313	1035	2262
314	1040	2261
315	1042	2257
316	1045	2252
317	1048	2248
318	1051	2243
319	1054	2239
320	1056	2235
321	1059	2230
322	1062	2226
323	1065	2222
324	1067	2217
325	1070	2213
326	1073	2209
327	1076	2204
328	1078	2200
329	1082	2196
330	1084	2192
331	1087	2188
332	1090	2184
333	1093	2180
334	1096	2176
335	1099	2172
336	1102	2169
337	1105	2166
338	1109	2162
339	1111	2157
340	1114	2153
341	1116	2148
342	1119	2144
343	1122	2140
344	1125	2136
345	1127	2132
346	1130	2127
347	1133	2123
348	1136	2119
349	1139	2115
350	1141	2111
351	1144	2107
352	1147	2103
353	1150	2099
354	1153	2095
355	1156	2091
356	1158	2087
357	1161	2083
358	1164	2078
359	1166	2073
360	1168	2067
361	1173	2067
362	1175	2063
363	1179	2061
364	1182	2057
365	1185	2053
366	1190	2052
367	1192	2048
368	1195	2044
369	1197	2039
370	1200	2035
371	1204	2032
372	1206	2028
373	1211	2027
374	1214	2023
375	1216	2019
376	1219	2015
377	1222	2011
378	1225	2008
379	1228	2003
380	1231	2000
381	1233	1996
382	1236	1992
383	1239	1987
384	1242	1984
385	1245	1980
386	1247	1976
387	1250	1972
388	1253	1968
389	1256	1964
390	1259	1961
391	1262	1957
392	1265	1954
393	1267	1950
394	1270	1946
395	1273	1942
396	1276	1938
397	1278	1934
398	1281	1929
399	1284	1926
400	1286	1922
401	1289	1918
402	1292	1914
403	1295	1910
404	1298	1907
405	1302	1906
406	1306	1903
407	1309	1899
408	1311	1895
409	1314	1891
410	1318	1889
411	1321	1885
412	1324	1881
413	1326	1878
414	1329	1874
415	1332	1871
416	1335	1867
417	1338	1863
418	1341	1859
419	1344	1856
420	1346	1852
421	1349	1848
422	1352	1845
423	1355	1841
424	1358	1837
425	1360	1833
426	1363	1829
427	1366	1825
428	1368	1821
429	1371	1818
430	1374	1814
431	1377	1810
432	1380	1807
433	1384	1805
434	1387	1801
435	1390	1798
436	1393	1795
437	1396	1791
438	1399	1787
439	1401	1784
440	1404	1780
441	1407	1776
442	1409	1772
443	1412	1768
444	1415	1765
445	1418	1761
446	1420	1757
447	1423	1754
448	1426	1750
449	1429	1746
450	1431	1742
451	1434	1739
452	1437	1735
453	1439	1731
454	1442	1727
455	1445	1724
456	1448	1720
457	1450	1716
458	1453	1713
459	1456	1710
460	1459	1706
461	1462	1702
462	1464	1699
463	1467	1695
464	1470	1691
465	1473	1688
466	1475	1684
467	1478	1681
468	1481	1677
469	1484	1674
470	1487	1671
471	1490	1667
472	1493	1663
473	1496	1660
474	1498	1656
475	1501	1653
476	1504	1649
477	1507	1646
478	1510	1642
479	1513	1639
480	1516	1635
481	1519	1632
482	1521	1628
483	1524	1625
484	1527	1621
485	1530	1618
486	1533	1614
487	1536	1611
488	1539	1608
489	1541	1604
490	1544	1601
491	1547	1597
492	1550	1594
493	1552	1590
494	1555	1587
495	1558	1583
496	1561	1580
497	1564	1576
498	1567	1573
499	1569	1569
500	1573	1566
501	1575	1563
502	1579	1560
503	1582	1556
504	1584	1553
505	1587	1549
506	1589	1545
507	1592	1542
508	1595	1539
509	1600	1538
510	1603	1534
511	1606	1530
512	1609	1527
513	1611	1524
514	1614	1520
515	1617	1517
516	1620	1513
517	1623	1510
518	1626	1507
519	1629	1504
520	1632	1500
521	1635	1497
522	1637	1493
523	1640	1490
524	1643	1486
525	1646	1483
526	1648	1479
527	1651	1476
528	1654	1473
529	1657	1469
530	1660	1466
531	1663	1463
532	1665	1459
533	1668	1456
534	1672	1453
535	1674	1449
536	1677	1446
537	1680	1443
538	1683	1439
539	1685	1436
540	1688	1432
541	1691	1429
542	1694	1426
543	1697	1422
544	1700	1419
545	1702	1415
546	1705	1412
547	1708	1409
548	1711	1405
549	1713	1402
550	1716	1398
551	1719	1395
552	1722	1391
553	1724	1388
554	1727	1384
555	1730	1381
556	1733	1378
557	1736	1375
558	1738	1371
559	1741	1368
560	1744	1365
561	1747	1361
562	1750	1358
563	1752	1354
564	1755	1351
565	1757	1347
566	1760	1344
567	1763	1341
568	1765	1337
569	1768	1334
570	1771	1331
571	1774	1327
572	1777	1324
573	1780	1321
574	1782	1317
575	1785	1314
576	1788	1310
577	1791	1307
578	1793	1304
579	1796	1300
580	1799	1297
581	1802	1294
582	1804	1290
583	1807	1287
584	1810	1284
585	1812	1280
586	1815	1277
587	1818	1273
588	1820	1270
589	1823	1267
590	1826	1264
591	1830	1261
592	1833	1258
593	1836	1254
594	1839	1251
595	1842	1248
596	1844	1245
597	1847	1241
598	1850	1238
599	1852	1235
600	1855	1231
601	1858	1228
602	1860	1225
603	1863	1221
604	1866	1218
605	1869	1215
606	1872	1212
607	1876	1209
608	1879	1206
609	1881	1203
