id,Age,age_bucket
33300,67,senior
33301,27,young_adult
33302,23,young_adult
33303,49,adult
33304,62,mid_senior
33305,460,senior
33306,78,senior
33307,74,senior
33308,85,senior
33309,610,senior
33310,30,young_adult
33311,69,senior
33312,35,adult
33313,550,senior
33314,29,young_adult
33315,44,adult
33316,48,adult
33317,31,adult
33318,85,senior
33319,42,adult
33320,280,senior
33321,360,senior
33322,43,adult
33323,78,senior
33324,21,young_adult
33325,55,mid_senior
33326,70,senior
33327,29,young_adult
33328,64,mid_senior
33329,66,senior
33330,66,senior
33331,760,senior
33332,240,senior
33333,22,young_adult
33334,40,adult
33335,78,senior
33336,42,adult
33337,350,senior
33338,450,senior
33339,69,senior
33340,52,mid_senior
33341,190,senior
33342,850,senior
33343,18,young_adult
33344,300,senior
33345,230,senior
33346,55,mid_senior
33347,47,adult
33348,85,senior
33349,47,adult
33350,33,adult
33351,360,senior
33352,670,senior
33353,780,senior
33354,37,adult
33355,380,senior
33356,56,mid_senior
33357,85,senior
33358,700,senior
33359,58,mid_senior
33360,460,senior
33361,51,mid_senior
33362,65,senior
33363,76,senior
33364,78,senior
33365,63,mid_senior
33366,77,senior
33367,370,senior
33368,680,senior
33369,56,mid_senior
33370,47,adult
33371,34,adult
33372,23,young_adult
33373,320,senior
33374,75,senior
33375,82,senior
33376,22,young_adult
33377,37,adult
33378,390,senior
33379,65,senior
33380,42,adult
33381,750,senior
33382,61,mid_senior
33383,36,adult
33384,38,adult
33385,18,young_adult
33386,210,senior
33387,21,young_adult
33388,23,young_adult
33389,420,senior
33390,34,adult
33391,57,mid_senior
33392,71,senior
33393,830,senior
33394,60,mid_senior
33395,590,senior
33396,420,senior
33397,56,mid_senior
33398,790,senior
33399,41,adult
33400,35,adult
33401,25,young_adult
33402,42,adult
33403,73,senior
33404,810,senior
33405,37,adult
33406,47,adult
33407,83,senior
33408,680,senior
33409,220,senior
33410,74,senior
33411,41,adult
33412,54,mid_senior
33413,25,young_adult
33414,37,adult
33415,710,senior
33416,62,mid_senior
33417,790,senior
33418,410,senior
33419,55,mid_senior
33420,64,mid_senior
33421,59,mid_senior
33422,85,senior
33423,23,young_adult
33424,82,senior
33425,24,young_adult
33426,420,senior
33427,280,senior
33428,69,senior
33429,500,senior
33430,36,adult
33431,39,adult
33432,57,mid_senior
33433,29,young_adult
33434,65,senior
33435,42,adult
33436,63,mid_senior
33437,21,young_adult
33438,80,senior
33439,54,mid_senior
33440,400,senior
33441,61,mid_senior
33442,80,senior
33443,58,mid_senior
33444,72,senior
33445,640,senior
33446,840,senior
33447,510,senior
33448,640,senior
33449,81,senior
33450,37,adult
33451,260,senior
33452,330,senior
33453,790,senior
33454,81,senior
33455,81,senior
33456,300,senior
33457,28,young_adult
33458,460,senior
33459,68,senior
33460,52,mid_senior
33461,690,senior
33462,37,adult
33463,840,senior
33464,83,senior
33465,320,senior
33466,84,senior
33467,780,senior
33468,84,senior
33469,37,adult
33470,750,senior
33471,65,senior
33472,370,senior
33473,660,senior
33474,83,senior
33475,390,senior
33476,320,senior
33477,45,adult
33478,72,senior
33479,680,senior
33480,62,mid_senior
33481,75,senior
33482,350,senior
33483,24,young_adult
33484,690,senior
33485,46,adult
33486,54,mid_senior
33487,84,senior
33488,81,senior
33489,27,young_adult
33490,76,senior
33491,29,young_adult
33492,22,young_adult
33493,34,adult
33494,630,senior
33495,41,adult
33496,84,senior
33497,42,adult
33498,81,senior
33499,300,senior
33500,33,adult
33501,62,mid_senior
33502,630,senior
33503,77,senior
33504,20,young_adult
33505,69,senior
33506,21,young_adult
33507,73,senior
33508,65,senior
33509,56,mid_senior
33510,48,adult
33511,57,mid_senior
33512,81,senior
33513,33,adult
33514,190,senior
33515,70,senior
33516,44,adult
33517,66,senior
33518,71,senior
33519,73,senior
33520,690,senior
33521,550,senior
33522,85,senior
33523,430,senior
33524,47,adult
33525,740,senior
33526,260,senior
33527,81,senior
33528,23,young_adult
33529,80,senior
33530,64,mid_senior
33531,610,senior
33532,43,adult
33533,44,adult
33534,71,senior
33535,420,senior
33536,480,senior
33537,480,senior
33538,40,adult
33539,66,senior
33540,23,young_adult
33541,190,senior
33542,19,young_adult
33543,750,senior
33544,590,senior
33545,28,young_adult
33546,410,senior
33547,84,senior
33548,19,young_adult
33549,600,senior
33550,55,mid_senior
33551,360,senior
33552,820,senior
33553,84,senior
33554,75,senior
33555,31,adult
33556,40,adult
33557,27,young_adult
33558,42,adult
33559,52,mid_senior
33560,330,senior
33561,810,senior
33562,30,young_adult
33563,790,senior
33564,38,adult
33565,500,senior
33566,21,young_adult
33567,45,adult
33568,500,senior
33569,23,young_adult
33570,42,adult
33571,52,mid_senior
33572,22,young_adult
33573,80,senior
33574,42,adult
33575,27,young_adult
33576,59,mid_senior
33577,560,senior
33578,79,senior
33579,47,adult
33580,46,adult
33581,410,senior
33582,820,senior
33583,43,adult
33584,41,adult
33585,76,senior
33586,50,adult
33587,59,mid_senior
33588,570,senior
33589,41,adult
33590,290,senior
33591,21,young_adult
33592,85,senior
33593,49,adult
33594,49,adult
33595,46,adult
33596,65,senior
33597,45,adult
33598,65,senior
33599,65,senior
33600,560,senior
33601,77,senior
33602,33,adult
33603,53,mid_senior
33604,54,mid_senior
33605,700,senior
33606,330,senior
33607,28,young_adult
33608,80,senior
33609,53,mid_senior
33610,240,senior
33611,39,adult
33612,27,young_adult
33613,59,mid_senior
33614,21,young_adult
33615,21,young_adult
33616,440,senior
33617,65,senior
33618,63,mid_senior
33619,40,adult
33620,730,senior
33621,19,young_adult
33622,50,adult
33623,340,senior
33624,820,senior
33625,440,senior
33626,31,adult
33627,21,young_adult
33628,69,senior
33629,49,adult
33630,62,mid_senior
33631,260,senior
33632,54,mid_senior
33633,64,mid_senior
33634,67,senior
33635,82,senior
33636,80,senior
33637,56,mid_senior
33638,54,mid_senior
33639,43,adult
33640,27,young_adult
33641,220,senior
33642,65,senior
33643,27,young_adult
33644,64,mid_senior
33645,31,adult
33646,260,senior
33647,71,senior
33648,320,senior
33649,40,adult
33650,71,senior
33651,63,mid_senior
33652,50,adult
33653,32,adult
33654,280,senior
33655,33,adult
33656,58,mid_senior
33657,26,young_adult
33658,59,mid_senior
33659,660,senior
33660,53,mid_senior
33661,650,senior
33662,78,senior
33663,27,young_adult
33664,380,senior
33665,180,senior
33666,49,adult
33667,24,young_adult
33668,65,senior
33669,370,senior
33670,64,mid_senior
33671,56,mid_senior
33672,62,mid_senior
33673,81,senior
33674,62,mid_senior
33675,760,senior
33676,65,senior
33677,81,senior
33678,49,adult
33679,46,adult
33680,780,senior
33681,65,senior
33682,440,senior
33683,57,mid_senior
33684,79,senior
33685,45,adult
33686,570,senior
33687,18,young_adult
33688,32,adult
33689,74,senior
33690,26,young_adult
33691,560,senior
33692,67,senior
33693,740,senior
33694,69,senior
33695,79,senior
33696,62,mid_senior
33697,62,mid_senior
33698,26,young_adult
33699,370,senior
33700,740,senior
33701,19,young_adult
33702,82,senior
33703,83,senior
33704,560,senior
33705,80,senior
33706,620,senior
33707,67,senior
33708,81,senior
33709,800,senior
33710,69,senior
33711,58,mid_senior
33712,66,senior
33713,680,senior
33714,30,young_adult
33715,41,adult
33716,510,senior
33717,710,senior
33718,56,mid_senior
33719,73,senior
33720,58,mid_senior
33721,60,mid_senior
33722,42,adult
33723,80,senior
33724,56,mid_senior
33725,78,senior
33726,740,senior
33727,26,young_adult
33728,200,senior
33729,65,senior
33730,75,senior
33731,82,senior
33732,19,young_adult
33733,21,young_adult
33734,660,senior
33735,24,young_adult
33736,360,senior
33737,43,adult
33738,28,young_adult
33739,75,senior
33740,76,senior
33741,570,senior
33742,33,adult
33743,67,senior
33744,59,mid_senior
33745,41,adult
33746,75,senior
33747,61,mid_senior
33748,18,young_adult
33749,75,senior
33750,49,adult
33751,44,adult
33752,56,mid_senior
33753,570,senior
33754,67,senior
33755,590,senior
33756,39,adult
33757,22,young_adult
33758,70,senior
33759,20,young_adult
33760,77,senior
33761,25,young_adult
33762,410,senior
33763,560,senior
33764,34,adult
33765,59,mid_senior
33766,35,adult
33767,38,adult
33768,18,young_adult
33769,850,senior
33770,52,mid_senior
33771,74,senior
33772,49,adult
33773,14,child
33774,68,senior
33775,75,senior
33776,71,senior
33777,80,senior
33778,320,senior
33779,46,adult
33780,24,young_adult
33781,51,mid_senior
33782,77,senior
33783,670,senior
33784,610,senior
33785,61,mid_senior
33786,30,young_adult
33787,80,senior
33788,19,young_adult
33789,43,adult
33790,360,senior
33791,62,mid_senior
33792,66,senior
33793,810,senior
33794,35,adult
33795,45,adult
33796,81,senior
33797,62,mid_senior
33798,72,senior
33799,260,senior
33800,36,adult
33801,20,young_adult
33802,33,adult
33803,84,senior
33804,65,senior
33805,630,senior
33806,550,senior
33807,330,senior
33808,41,adult
33809,310,senior
33810,69,senior
33811,83,senior
33812,24,young_adult
33813,46,adult
33814,35,adult
33815,620,senior
33816,66,senior
33817,660,senior
33818,810,senior
33819,76,senior
33820,47,adult
33821,660,senior
33822,32,adult
33823,52,mid_senior
33824,41,adult
33825,300,senior
33826,670,senior
33827,44,adult
33828,46,adult
33829,510,senior
33830,440,senior
33831,78,senior
33832,44,adult
33833,73,senior
33834,38,adult
33835,530,senior
33836,18,young_adult
33837,52,mid_senior
33838,18,young_adult
33839,370,senior
33840,740,senior
33841,24,young_adult
33842,790,senior
