loan_to_income_ratio,loan_to_income_band
0.24,Moderate Ratio
0.2,Moderate Ratio
0.04,Low Ratio
0.15,Moderate Ratio
9.23,High Ratio
0.21,Moderate Ratio
0.18,Moderate Ratio
0.28,Moderate Ratio
0.09,Low Ratio
0.17,Moderate Ratio
10.53,High Ratio
0.19,Moderate Ratio
0.06,Low Ratio
0.25,Moderate Ratio
0.15,Moderate Ratio
0.23,Moderate Ratio
0.11,Moderate Ratio
0.42,High Ratio
0.15,Moderate Ratio
0.14,Moderate Ratio
0.09,Low Ratio
0.33,High Ratio
0.18,Moderate Ratio
17.91,High Ratio
0.24,Moderate Ratio
8.33,High Ratio
0.08,Low Ratio
0.3,Moderate Ratio
0.39,High Ratio
5.06,High Ratio
0.48,High Ratio
0.07,Low Ratio
8.33,High Ratio
0.1,Moderate Ratio
0.2,Moderate Ratio
11.11,High Ratio
0.17,Moderate Ratio
0.13,Moderate Ratio
7.27,High Ratio
2.86,High Ratio
0.12,Moderate Ratio
15.0,High Ratio
0.23,Moderate Ratio
0.07,Low Ratio
0.18,Moderate Ratio
0.05,Low Ratio
0.18,Moderate Ratio
9.23,High Ratio
0.18,Moderate Ratio
0.03,Low Ratio
5.83,High Ratio
8.0,High Ratio
0.1,Low Ratio
8.5,High Ratio
12.78,High Ratio
36.37,High Ratio
0.13,Moderate Ratio
8.33,High Ratio
0.33,High Ratio
0.04,Low Ratio
0.13,Moderate Ratio
0.1,Moderate Ratio
0.05,Low Ratio
14.62,High Ratio
0.31,High Ratio
0.19,Moderate Ratio
0.1,Moderate Ratio
0.36,High Ratio
0.05,Low Ratio
20.91,High Ratio
0.27,Moderate Ratio
12.5,High Ratio
0.08,Low Ratio
7.41,High Ratio
0.3,Moderate Ratio
35.9,High Ratio
0.2,Moderate Ratio
0.08,Low Ratio
0.15,Moderate Ratio
13.77,High Ratio
0.34,High Ratio
21.43,High Ratio
0.14,Moderate Ratio
0.09,Low Ratio
8.65,High Ratio
21.0,High Ratio
0.07,Low Ratio
9.26,High Ratio
7.14,High Ratio
0.32,High Ratio
0.08,Low Ratio
0.13,Moderate Ratio
7.5,High Ratio
0.1,Moderate Ratio
0.08,Low Ratio
0.2,Moderate Ratio
13.89,High Ratio
0.04,Low Ratio
0.33,High Ratio
0.16,Moderate Ratio
5.02,High Ratio
0.06,Low Ratio
0.17,Moderate Ratio
0.08,Low Ratio
6.12,High Ratio
16.09,High Ratio
0.06,Low Ratio
0.17,Moderate Ratio
15.38,High Ratio
10.0,High Ratio
0.23,Moderate Ratio
0.3,Moderate Ratio
0.34,High Ratio
7.67,High Ratio
16.67,High Ratio
0.06,Low Ratio
25.0,High Ratio
0.03,Low Ratio
0.18,Moderate Ratio
0.21,Moderate Ratio
0.05,Low Ratio
30.0,High Ratio
0.06,Low Ratio
13.64,High Ratio
22.78,High Ratio
0.08,Low Ratio
0.23,Moderate Ratio
8.89,High Ratio
0.13,Moderate Ratio
0.15,Moderate Ratio
0.27,Moderate Ratio
0.29,Moderate Ratio
0.11,Moderate Ratio
0.09,Low Ratio
0.06,Low Ratio
0.03,Low Ratio
0.06,Low Ratio
0.25,Moderate Ratio
0.07,Low Ratio
0.2,Moderate Ratio
0.34,High Ratio
5.61,High Ratio
0.25,Moderate Ratio
0.16,Moderate Ratio
11.9,High Ratio
0.17,Moderate Ratio
0.11,Moderate Ratio
15.0,High Ratio
0.13,Moderate Ratio
0.08,Low Ratio
30.0,High Ratio
0.09,Low Ratio
0.15,Moderate Ratio
33.33,High Ratio
0.25,Moderate Ratio
3.18,High Ratio
19.25,High Ratio
0.32,High Ratio
0.09,Low Ratio
0.07,Low Ratio
0.17,Moderate Ratio
0.18,Moderate Ratio
0.12,Moderate Ratio
0.07,Low Ratio
0.05,Low Ratio
0.19,Moderate Ratio
0.11,Moderate Ratio
0.16,Moderate Ratio
0.15,Moderate Ratio
16.67,High Ratio
0.08,Low Ratio
0.06,Low Ratio
0.05,Low Ratio
0.05,Low Ratio
0.24,Moderate Ratio
0.1,Moderate Ratio
0.36,High Ratio
0.16,Moderate Ratio
3.7,High Ratio
0.2,Moderate Ratio
0.25,Moderate Ratio
15.38,High Ratio
0.3,High Ratio
11.11,High Ratio
0.18,Moderate Ratio
17.39,High Ratio
14.96,High Ratio
8.33,High Ratio
0.14,Moderate Ratio
0.17,Moderate Ratio
14.71,High Ratio
0.1,Moderate Ratio
0.2,Moderate Ratio
0.13,Moderate Ratio
40.0,High Ratio
0.09,Low Ratio
0.07,Low Ratio
0.15,Moderate Ratio
0.12,Moderate Ratio
0.26,Moderate Ratio
0.16,Moderate Ratio
0.08,Low Ratio
0.17,Moderate Ratio
0.09,Low Ratio
0.38,High Ratio
0.13,Moderate Ratio
0.06,Low Ratio
18.52,High Ratio
0.13,Moderate Ratio
3.33,High Ratio
0.05,Low Ratio
0.14,Moderate Ratio
0.06,Low Ratio
18.67,High Ratio
0.28,Moderate Ratio
0.08,Low Ratio
0.05,Low Ratio
0.13,Moderate Ratio
0.06,Low Ratio
17.14,High Ratio
0.1,Moderate Ratio
8.89,High Ratio
43.01,High Ratio
0.13,Moderate Ratio
2.08,High Ratio
0.1,Moderate Ratio
0.17,Moderate Ratio
0.12,Moderate Ratio
0.05,Low Ratio
16.67,High Ratio
3.37,High Ratio
0.24,Moderate Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
0.17,Moderate Ratio
0.13,Moderate Ratio
0.03,Low Ratio
0.27,Moderate Ratio
0.11,Moderate Ratio
0.2,Moderate Ratio
0.04,Low Ratio
0.18,Moderate Ratio
16.67,High Ratio
0.26,Moderate Ratio
0.27,Moderate Ratio
0.09,Low Ratio
12.0,High Ratio
0.18,Moderate Ratio
22.31,High Ratio
4.9,High Ratio
8.0,High Ratio
29.76,High Ratio
0.04,Low Ratio
0.12,Moderate Ratio
0.13,Moderate Ratio
0.22,Moderate Ratio
0.17,Moderate Ratio
0.17,Moderate Ratio
19.09,High Ratio
25.64,High Ratio
0.17,Moderate Ratio
4.62,High Ratio
0.23,Moderate Ratio
0.22,Moderate Ratio
0.21,Moderate Ratio
0.09,Low Ratio
0.1,Moderate Ratio
0.3,High Ratio
0.26,Moderate Ratio
0.21,Moderate Ratio
0.05,Low Ratio
0.09,Low Ratio
0.38,High Ratio
6.0,High Ratio
0.09,Low Ratio
0.28,Moderate Ratio
0.17,Moderate Ratio
0.24,Moderate Ratio
8.89,High Ratio
0.24,Moderate Ratio
0.16,Moderate Ratio
0.08,Low Ratio
0.09,Low Ratio
0.08,Low Ratio
8.7,High Ratio
0.25,Moderate Ratio
0.1,Moderate Ratio
0.1,Moderate Ratio
0.24,Moderate Ratio
0.22,Moderate Ratio
0.12,Moderate Ratio
9.23,High Ratio
0.17,Moderate Ratio
0.16,Moderate Ratio
0.12,Moderate Ratio
0.11,Moderate Ratio
0.03,Low Ratio
0.06,Low Ratio
5.22,High Ratio
30.77,High Ratio
0.05,Low Ratio
0.12,Moderate Ratio
26.04,High Ratio
12.3,High Ratio
10.26,High Ratio
0.06,Low Ratio
0.09,Low Ratio
12.79,High Ratio
0.24,Moderate Ratio
0.04,Low Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
0.29,Moderate Ratio
17.14,High Ratio
0.33,High Ratio
0.1,Moderate Ratio
0.23,Moderate Ratio
0.17,Moderate Ratio
0.1,Moderate Ratio
0.14,Moderate Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
0.15,Moderate Ratio
0.13,Moderate Ratio
11.11,High Ratio
18.13,High Ratio
0.11,Moderate Ratio
0.1,Moderate Ratio
0.24,Moderate Ratio
8.89,High Ratio
0.19,Moderate Ratio
26.67,High Ratio
0.28,Moderate Ratio
0.16,Moderate Ratio
23.81,High Ratio
6.58,High Ratio
0.1,Moderate Ratio
0.15,Moderate Ratio
0.2,Moderate Ratio
0.1,Moderate Ratio
0.14,Moderate Ratio
10.0,High Ratio
16.8,High Ratio
13.33,High Ratio
0.19,Moderate Ratio
14.52,High Ratio
5.0,High Ratio
0.03,Low Ratio
11.76,High Ratio
8.06,High Ratio
0.24,Moderate Ratio
0.03,Low Ratio
0.27,Moderate Ratio
0.1,Moderate Ratio
0.19,Moderate Ratio
28.57,High Ratio
0.21,Moderate Ratio
9.7,High Ratio
5.3,High Ratio
12.5,High Ratio
3.75,High Ratio
0.06,Low Ratio
0.03,Low Ratio
0.3,High Ratio
0.07,Low Ratio
13.89,High Ratio
0.14,Moderate Ratio
1.05,High Ratio
30.47,High Ratio
11.46,High Ratio
11.67,High Ratio
38.46,High Ratio
0.11,Moderate Ratio
0.1,Moderate Ratio
0.14,Moderate Ratio
0.27,Moderate Ratio
0.24,Moderate Ratio
9.62,High Ratio
0.08,Low Ratio
0.05,Low Ratio
20.57,High Ratio
6.26,High Ratio
0.26,Moderate Ratio
7.69,High Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
0.1,Moderate Ratio
0.13,Moderate Ratio
15.0,High Ratio
0.17,Moderate Ratio
0.22,Moderate Ratio
0.15,Moderate Ratio
19.15,High Ratio
6.67,High Ratio
1.19,High Ratio
0.29,Moderate Ratio
0.18,Moderate Ratio
0.14,Moderate Ratio
0.21,Moderate Ratio
20.0,High Ratio
0.39,High Ratio
0.12,Moderate Ratio
11.63,High Ratio
11.67,High Ratio
0.22,Moderate Ratio
0.15,Moderate Ratio
22.86,High Ratio
0.12,Moderate Ratio
29.63,High Ratio
0.08,Low Ratio
0.04,Low Ratio
0.27,Moderate Ratio
0.09,Low Ratio
0.2,Moderate Ratio
0.2,Moderate Ratio
0.07,Low Ratio
0.2,Moderate Ratio
31.58,High Ratio
0.3,Moderate Ratio
0.22,Moderate Ratio
0.13,Moderate Ratio
0.41,High Ratio
0.2,Moderate Ratio
0.08,Low Ratio
3.33,High Ratio
0.17,Moderate Ratio
6.94,High Ratio
0.24,Moderate Ratio
0.11,Moderate Ratio
0.25,Moderate Ratio
0.2,Moderate Ratio
15.22,High Ratio
17.36,High Ratio
0.14,Moderate Ratio
25.0,High Ratio
0.1,Low Ratio
0.24,Moderate Ratio
0.17,Moderate Ratio
0.22,Moderate Ratio
0.07,Low Ratio
0.07,Low Ratio
9.0,High Ratio
0.12,Moderate Ratio
9.6,High Ratio
0.07,Low Ratio
0.1,Low Ratio
8.57,High Ratio
0.13,Moderate Ratio
0.11,Moderate Ratio
0.04,Low Ratio
0.42,High Ratio
0.22,Moderate Ratio
0.05,Low Ratio
0.04,Low Ratio
41.03,High Ratio
0.1,Moderate Ratio
0.19,Moderate Ratio
13.33,High Ratio
0.25,Moderate Ratio
0.15,Moderate Ratio
27.27,High Ratio
0.1,Moderate Ratio
8.16,High Ratio
0.11,Moderate Ratio
0.42,High Ratio
0.22,Moderate Ratio
30.0,High Ratio
0.16,Moderate Ratio
11.43,High Ratio
0.1,Low Ratio
0.18,Moderate Ratio
13.33,High Ratio
0.15,Moderate Ratio
26.67,High Ratio
0.24,Moderate Ratio
0.12,Moderate Ratio
0.12,Moderate Ratio
10.42,High Ratio
0.04,Low Ratio
0.1,Moderate Ratio
0.1,Moderate Ratio
0.16,Moderate Ratio
6.72,High Ratio
0.17,Moderate Ratio
0.07,Low Ratio
6.9,High Ratio
0.2,Moderate Ratio
0.11,Moderate Ratio
0.17,Moderate Ratio
0.17,Moderate Ratio
0.2,Moderate Ratio
0.13,Moderate Ratio
30.0,High Ratio
0.12,Moderate Ratio
11.48,High Ratio
0.15,Moderate Ratio
0.15,Moderate Ratio
0.27,Moderate Ratio
2.96,High Ratio
20.0,High Ratio
0.4,High Ratio
0.09,Low Ratio
0.08,Low Ratio
0.3,Moderate Ratio
0.15,Moderate Ratio
0.38,High Ratio
8.33,High Ratio
0.13,Moderate Ratio
20.0,High Ratio
28.65,High Ratio
13.33,High Ratio
0.06,Low Ratio
0.08,Low Ratio
0.23,Moderate Ratio
20.0,High Ratio
30.0,High Ratio
15.44,High Ratio
0.12,Moderate Ratio
0.14,Moderate Ratio
0.04,Low Ratio
0.12,Moderate Ratio
0.24,Moderate Ratio
0.1,Moderate Ratio
0.15,Moderate Ratio
0.03,Low Ratio
0.12,Moderate Ratio
0.14,Moderate Ratio
0.16,Moderate Ratio
23.08,High Ratio
0.47,High Ratio
0.19,Moderate Ratio
0.2,Moderate Ratio
