id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,corrupted_loan_intent,person_home_ownership_person_age,interest_rate_tier
35187,21,30000,RENT,5.0,PERSONAL,B,7200,9.88,0.24,N,2,0,corrupted_PERSONAL,RENT_21,Low Rate
35188,24,60000,RENT,6.0,PERSONAL,B,12000,10.99,0.2,N,3,0,corrupted_PERSONAL,RENT_24,Medium Rate
35189,23,57110,RENT,5.0,MEDICAL,B,2400,10.0,0.04,N,4,0,corrupted_MEDICAL,RENT_23,Medium Rate
35190,22,67150,RENT,5.0,EDUCATION,A,10000,7.66,0.13,N,3,0,corrupted_EDUCATION,RENT_22,Low Rate
35191,34,65000,RENT,11.0,MEDICAL,A,600000,6.99,0.09,N,9,0,corrupted_MEDICAL,RENT_34,Low Rate
35192,29,56000,RENT,12.0,DEBTCONSOLIDATION,A,12000,9.63,0.21,N,7,0,corrupted_DEBTCONSOLIDATION,RENT_29,Low Rate
35193,28,84000,RENT,6.0,EDUCATION,missing,15000,7.49,0.18,N,7,0,corrupted_EDUCATION,RENT_28,Low Rate
35194,23,36000,RENT,6.0,MEDICAL,D,10000,16.77,0.28,N,2,0,corrupted_MEDICAL,RENT_23,Medium Rate
35195,25,69000,RENT,3.0,VENTURE,A,6000,7.49,0.09,N,4,0,corrupted_VENTURE,RENT_25,Low Rate
35196,51,70000,RENT,2.0,PERSONAL,B,12000,10.2,0.17,N,30,0,corrupted_PERSONAL,RENT_51,Medium Rate
35197,28,95000,RENT,1.0,DEBTCONSOLIDATION,D,1000000,16.89,0.11,N,8,1,corrupted_DEBTCONSOLIDATION,RENT_28,Medium Rate
35198,37,80000,RENT,0.0,VENTURE,A,15000,6.54,0.19,N,17,0,corrupted_VENTURE,RENT_37,Low Rate
35199,30,80000,RENT,4.0,EDUCATION,A,5000,6.62,0.06,N,10,0,corrupted_EDUCATION,RENT_30,Low Rate
35200,37,60000,RENT,11.572015446441567,HOMEIMPROVEMENT,A,15000,6.99,0.25,N,11,0,corrupted_HOMEIMPROVEMENT,RENT_37,Low Rate
35201,29,80000,RENT,4.0,PERSONAL,B,12000,12.42,0.15,N,9,0,corrupted_PERSONAL,RENT_29,Medium Rate
35202,44,44000,RENT,12.0,MEDICAL,D,10000,15.33,0.23,N,11,1,corrupted_MEDICAL,RENT_44,Medium Rate
35203,42,90000,RENT,13.0,HOMEIMPROVEMENT,B,9600,10.74,0.11,N,11,0,corrupted_HOMEIMPROVEMENT,RENT_42,Medium Rate
35204,24,53000,RENT,9.0,DEBTCONSOLIDATION,D,22000,14.46,0.4,N,2,1,corrupted_DEBTCONSOLIDATION,RENT_24,Medium Rate
35205,33,60000,RENT,-0.5705387772195252,HOMEIMPROVEMENT,C,9000,12.84,0.15,N,5,0,corrupted_HOMEIMPROVEMENT,RENT_33,Medium Rate
35206,22,117996,RENT,3.0,EDUCATION,A,16000,7.9,0.14,N,4,0,corrupted_EDUCATION,RENT_22,Low Rate
35207,28,99473,RENT,12.0,EDUCATION,B,8500,11.58,0.09,N,5,0,corrupted_EDUCATION,RENT_28,Medium Rate
35208,23,42000,RENT,2.2967096850992954,VENTURE,A,14000,7.37,0.33,N,4,0,corrupted_VENTURE,RENT_23,Low Rate
35209,21,27200,RENT,0.0,DEBTCONSOLIDATION,C,5000,13.49,0.18,N,3,0,corrupted_DEBTCONSOLIDATION,RENT_21,Medium Rate
35210,22,50250,RENT,7.0,MEDICAL,A,900000,7.51,0.18,N,2,0,corrupted_MEDICAL,RENT_22,Low Rate
35211,26,30000,RENT,0.0,MEDICAL,B,7200,11.71,0.24,N,4,0,corrupted_MEDICAL,RENT_26,Medium Rate
35212,28,60000,RENT,7.0,MEDICAL,B,500000,11.49,0.08,N,8,0,corrupted_MEDICAL,RENT_28,Medium Rate
35213,22,100000,RENT,2.4750282242606167,DEBTCONSOLIDATION,D,8000,18.25,0.08,N,3,1,corrupted_DEBTCONSOLIDATION,RENT_22,Medium Rate
35214,23,33500,RENT,3.0,MEDICAL,D,10000,15.7,0.3,N,2,1,corrupted_MEDICAL,RENT_23,Medium Rate
35215,27,90000,RENT,6.0,DEBTCONSOLIDATION,missing,35000,11.99,0.39,N,6,0,corrupted_DEBTCONSOLIDATION,RENT_27,Medium Rate
35216,28,42000,RENT,11.0,DEBTCONSOLIDATION,A,212500,6.62,0.05,N,9,0,corrupted_DEBTCONSOLIDATION,RENT_28,Low Rate
35217,22,30000,RENT,-3.320940604298328,PERSONAL,C,14500,13.16,0.47,N,4,1,corrupted_PERSONAL,RENT_22,Medium Rate
35218,27,85000,RENT,1.0,EDUCATION,C,6000,14.27,0.07,N,8,0,corrupted_EDUCATION,RENT_27,Medium Rate
35219,27,60000,RENT,0.0,DEBTCONSOLIDATION,B,500000,11.26,0.08,N,10,0,corrupted_DEBTCONSOLIDATION,RENT_27,Medium Rate
35220,23,350000,RENT,7.0,PERSONAL,A,35000,7.49,0.11,N,4,0,corrupted_PERSONAL,RENT_23,Low Rate
35221,24,50000,RENT,5.0,HOMEIMPROVEMENT,B,10000,9.91,0.2,N,4,0,corrupted_HOMEIMPROVEMENT,RENT_24,Low Rate
35222,25,225000,RENT,4.0,VENTURE,B,2500000,11.83,0.11,N,2,0,corrupted_VENTURE,RENT_25,Medium Rate
35223,24,36000,RENT,1.0,VENTURE,A,6000,8.9,0.17,N,3,0,corrupted_VENTURE,RENT_24,Low Rate
35224,30,38000,RENT,5.0,VENTURE,A,5000,8.0,0.13,N,9,0,corrupted_VENTURE,RENT_30,Low Rate
35225,22,55000,RENT,-6.0538522800445005,EDUCATION,C,400000,14.27,0.07,N,4,0,corrupted_EDUCATION,RENT_22,Medium Rate
35226,22,70000,RENT,7.0,PERSONAL,A,200000,5.79,0.03,N,3,0,corrupted_PERSONAL,RENT_22,Low Rate
35227,28,78000,RENT,12.0,MEDICAL,A,9600,8.94,0.12,N,9,0,corrupted_MEDICAL,RENT_28,Low Rate
35228,47,52000,RENT,11.0,HOMEIMPROVEMENT,A,780000,9.07,0.15,N,14,0,corrupted_HOMEIMPROVEMENT,RENT_47,Low Rate
35229,24,70000,RENT,6.0,VENTURE,B,16000,11.49,0.23,N,3,0,corrupted_VENTURE,RENT_24,Medium Rate
35230,27,65000,RENT,3.0,VENTURE,B,4500,12.42,0.07,N,10,0,corrupted_VENTURE,RENT_27,Medium Rate
35231,24,65000,RENT,8.0,MEDICAL,missing,12000,5.79,0.18,N,2,0,corrupted_MEDICAL,RENT_24,Low Rate
35232,29,74196,RENT,0.0,VENTURE,B,4000,11.26,0.05,N,7,0,corrupted_VENTURE,RENT_29,Medium Rate
35233,25,33195,RENT,8.0,EDUCATION,B,6000,10.0,0.18,N,3,0,corrupted_EDUCATION,RENT_25,Medium Rate
35234,25,65000,RENT,2.8485541913300763,DEBTCONSOLIDATION,A,600000,7.51,0.09,N,2,0,corrupted_DEBTCONSOLIDATION,RENT_25,Low Rate
35235,36,78000,RENT,4.0,PERSONAL,A,14000,7.49,0.18,N,13,0,corrupted_PERSONAL,RENT_36,Low Rate
35236,23,39000,RENT,1.0,VENTURE,E,1000,17.14,0.03,N,3,1,corrupted_VENTURE,RENT_23,Medium Rate
35237,24,120000,RENT,8.0,EDUCATION,missing,700000,5.42,0.06,N,2,0,corrupted_EDUCATION,RENT_24,Low Rate
35238,23,50000,RENT,3.6040489307208143,DEBTCONSOLIDATION,C,400000,14.26,0.08,N,2,0,corrupted_DEBTCONSOLIDATION,RENT_23,Medium Rate
35239,22,42000,RENT,3.0,DEBTCONSOLIDATION,A,4000,7.9,0.1,N,4,0,corrupted_DEBTCONSOLIDATION,RENT_22,Low Rate
35240,31,60000,RENT,0.0,HOMEIMPROVEMENT,missing,510000,12.53,0.09,N,5,0,corrupted_HOMEIMPROVEMENT,RENT_31,Medium Rate
35241,32,36000,RENT,1.0,HOMEIMPROVEMENT,D,460000,16.0,0.13,N,10,1,corrupted_HOMEIMPROVEMENT,RENT_32,Medium Rate
35242,23,54996,RENT,2.0,VENTURE,E,2000000,12.53,0.36,N,3,1,corrupted_VENTURE,RENT_23,Medium Rate
35243,30,91228,RENT,3.0,MEDICAL,B,12000,11.89,0.13,N,9,0,corrupted_MEDICAL,RENT_30,Medium Rate
35244,26,24000,RENT,0.0,EDUCATION,A,200000,7.37,0.08,N,4,0,corrupted_EDUCATION,RENT_26,Low Rate
35245,36,49000,RENT,3.0,DEBTCONSOLIDATION,B,16000,10.37,0.33,N,14,1,corrupted_DEBTCONSOLIDATION,RENT_36,Medium Rate
