id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status,corrupted_loan_intent,person_home_ownership_person_age,normalized_emp_length,emp_length_category
35187,21,30000,RENT,5.0,PERSONAL,B,7200,9.88,0.24,N,2,0,corrupted_PERSONAL,RENT_21,0.12195121951219512,Mid-level
35188,24,60000,RENT,6.0,PERSONAL,B,12000,10.99,0.2,N,3,0,corrupted_PERSONAL,RENT_24,0.14634146341463414,Senior
35189,23,57110,RENT,5.0,MEDICAL,B,2400,10.0,0.04,N,4,0,corrupted_MEDICAL,RENT_23,0.12195121951219512,Mid-level
35190,22,67150,RENT,5.0,EDUCATION,A,10000,7.66,0.13,N,3,0,corrupted_EDUCATION,RENT_22,0.12195121951219512,Mid-level
35191,34,65000,RENT,11.0,MEDICAL,A,600000,6.99,0.09,N,9,0,corrupted_MEDICAL,RENT_34,0.2682926829268293,Senior
35192,29,56000,RENT,12.0,DEBTCONSOLIDATION,A,12000,9.63,0.21,N,7,0,corrupted_DEBTCONSOLIDATION,RENT_29,0.2926829268292683,Senior
35193,28,84000,RENT,6.0,EDUCATION,missing,15000,7.49,0.18,N,7,0,corrupted_EDUCATION,RENT_28,0.14634146341463414,Senior
35194,23,36000,RENT,6.0,MEDICAL,D,10000,16.77,0.28,N,2,0,corrupted_MEDICAL,RENT_23,0.14634146341463414,Senior
35195,25,69000,RENT,3.0,VENTURE,A,6000,7.49,0.09,N,4,0,corrupted_VENTURE,RENT_25,0.07317073170731707,Mid-level
35196,51,70000,RENT,2.0,PERSONAL,B,12000,10.2,0.17,N,30,0,corrupted_PERSONAL,RENT_51,0.04878048780487805,Mid-level
35197,28,95000,RENT,1.0,DEBTCONSOLIDATION,D,1000000,16.89,0.11,N,8,1,corrupted_DEBTCONSOLIDATION,RENT_28,0.024390243902439025,Junior
35198,37,80000,RENT,0.0,VENTURE,A,15000,6.54,0.19,N,17,0,corrupted_VENTURE,RENT_37,0.0,Junior
35199,30,80000,RENT,4.0,EDUCATION,A,5000,6.62,0.06,N,10,0,corrupted_EDUCATION,RENT_30,0.0975609756097561,Mid-level
35200,37,60000,RENT,11.572015446441567,HOMEIMPROVEMENT,A,15000,6.99,0.25,N,11,0,corrupted_HOMEIMPROVEMENT,RENT_37,0.28224427918150163,Senior
35201,29,80000,RENT,4.0,PERSONAL,B,12000,12.42,0.15,N,9,0,corrupted_PERSONAL,RENT_29,0.0975609756097561,Mid-level
35202,44,44000,RENT,12.0,MEDICAL,D,10000,15.33,0.23,N,11,1,corrupted_MEDICAL,RENT_44,0.2926829268292683,Senior
35203,42,90000,RENT,13.0,HOMEIMPROVEMENT,B,9600,10.74,0.11,N,11,0,corrupted_HOMEIMPROVEMENT,RENT_42,0.3170731707317073,Senior
35204,24,53000,RENT,9.0,DEBTCONSOLIDATION,D,22000,14.46,0.4,N,2,1,corrupted_DEBTCONSOLIDATION,RENT_24,0.21951219512195122,Senior
35205,33,60000,RENT,-0.5705387772195252,HOMEIMPROVEMENT,C,9000,12.84,0.15,N,5,0,corrupted_HOMEIMPROVEMENT,RENT_33,-0.013915579932183541,Junior
35206,22,117996,RENT,3.0,EDUCATION,A,16000,7.9,0.14,N,4,0,corrupted_EDUCATION,RENT_22,0.07317073170731707,Mid-level
35207,28,99473,RENT,12.0,EDUCATION,B,8500,11.58,0.09,N,5,0,corrupted_EDUCATION,RENT_28,0.2926829268292683,Senior
35208,23,42000,RENT,2.2967096850992954,VENTURE,A,14000,7.37,0.33,N,4,0,corrupted_VENTURE,RENT_23,0.05601730939266574,Mid-level
35209,21,27200,RENT,0.0,DEBTCONSOLIDATION,C,5000,13.49,0.18,N,3,0,corrupted_DEBTCONSOLIDATION,RENT_21,0.0,Junior
35210,22,50250,RENT,7.0,MEDICAL,A,900000,7.51,0.18,N,2,0,corrupted_MEDICAL,RENT_22,0.17073170731707318,Senior
35211,26,30000,RENT,0.0,MEDICAL,B,7200,11.71,0.24,N,4,0,corrupted_MEDICAL,RENT_26,0.0,Junior
35212,28,60000,RENT,7.0,MEDICAL,B,500000,11.49,0.08,N,8,0,corrupted_MEDICAL,RENT_28,0.17073170731707318,Senior
35213,22,100000,RENT,2.4750282242606167,DEBTCONSOLIDATION,D,8000,18.25,0.08,N,3,1,corrupted_DEBTCONSOLIDATION,RENT_22,0.060366542055136994,Mid-level
35214,23,33500,RENT,3.0,MEDICAL,D,10000,15.7,0.3,N,2,1,corrupted_MEDICAL,RENT_23,0.07317073170731707,Mid-level
35215,27,90000,RENT,6.0,DEBTCONSOLIDATION,missing,35000,11.99,0.39,N,6,0,corrupted_DEBTCONSOLIDATION,RENT_27,0.14634146341463414,Senior
35216,28,42000,RENT,11.0,DEBTCONSOLIDATION,A,212500,6.62,0.05,N,9,0,corrupted_DEBTCONSOLIDATION,RENT_28,0.2682926829268293,Senior
35217,22,30000,RENT,-3.320940604298328,PERSONAL,C,14500,13.16,0.47,N,4,1,corrupted_PERSONAL,RENT_22,-0.08099855132434947,Junior
35218,27,85000,RENT,1.0,EDUCATION,C,6000,14.27,0.07,N,8,0,corrupted_EDUCATION,RENT_27,0.024390243902439025,Junior
35219,27,60000,RENT,0.0,DEBTCONSOLIDATION,B,500000,11.26,0.08,N,10,0,corrupted_DEBTCONSOLIDATION,RENT_27,0.0,Junior
35220,23,350000,RENT,7.0,PERSONAL,A,35000,7.49,0.11,N,4,0,corrupted_PERSONAL,RENT_23,0.17073170731707318,Senior
