person_home_ownership,loan_grade,total_loans,avg_interest_rate,default_rate
OTHER,missing,1,16.0,1.0
OTHER,E,1,16.32,1.0
OWN,F,3,17.763333333333335,0.6666666666666666
RENT,G,9,21.057777777777773,0.6666666666666666
RENT,F,32,18.905937500000004,0.625
OWN,E,15,17.133333333333333,0.6
OWN,D,65,16.114307692307698,0.5846153846153846
OWN,missing,11,16.16454545454545,0.5454545454545454
MORTGAGE,C,57,15.53596491228071,0.543859649122807
RENT,missing,108,16.304259259259258,0.5092592592592593
MORTGAGE,D,363,15.95123966942146,0.5068870523415978
RENT,C,90,15.517555555555564,0.5
MORTGAGE,F,14,18.665714285714284,0.5
RENT,D,652,16.055644171779146,0.49846625766871167
MORTGAGE,missing,68,16.26764705882354,0.4852941176470588
RENT,E,226,17.002699115044237,0.4778761061946903
MORTGAGE,E,118,17.011525423728827,0.4576271186440678
OWN,C,15,15.630000000000004,0.3333333333333333
OTHER,D,3,15.540000000000001,0.3333333333333333
