emp_length,grade_segment,total_loans,avg_interest_rate,defaults,default_percentage
0.0,F,5,19.21,5.0,100.0
1.0,G,3,20.25,3.0,100.0
4.0,G,1,21.21,1.0,100.0
9.0,G,1,20.86,1.0,100.0
15.0,E,1,18.39,1.0,100.0
25.0,B,1,12.18,1.0,100.0
26.0,D,2,16.29,2.0,100.0
2.0,E,60,16.66,53.0,88.33
1.0,F,7,18.83,6.0,85.71
0.0,E,65,16.84,54.0,83.08
0.0,D,247,15.31,204.0,82.59
2.0,D,279,15.27,230.0,82.44
1.0,E,51,16.78,41.0,80.39
1.0,D,189,15.25,150.0,79.37
2.0,F,4,19.51,3.0,75.0
4.0,F,4,18.97,3.0,75.0
3.0,F,3,19.58,2.0,66.67
4.0,E,31,16.87,19.0,61.29
6.0,F,5,18.79,3.0,60.0
9.0,F,5,19.15,3.0,60.0
12.0,D,20,15.48,12.0,60.0
3.0,E,49,16.97,28.0,57.14
10.0,D,28,15.57,15.0,53.57
7.0,D,131,15.51,70.0,53.44
6.0,E,30,16.73,16.0,53.33
3.0,D,194,15.42,100.0,51.55
6.0,D,136,15.5,70.0,51.47
11.0,D,37,15.46,19.0,51.35
0.0,G,2,22.43,1.0,50.0
2.0,G,2,21.14,1.0,50.0
5.0,F,2,19.27,1.0,50.0
7.0,E,16,17.36,8.0,50.0
8.0,G,2,19.74,1.0,50.0
20.0,C,4,13.48,2.0,50.0
20.0,D,4,16.29,2.0,50.0
4.0,D,198,15.43,90.0,45.45
9.0,D,72,15.41,32.0,44.44
14.0,D,16,15.31,7.0,43.75
9.0,E,19,16.76,8.0,42.11
13.0,E,5,17.36,2.0,40.0
5.0,E,23,16.68,9.0,39.13
8.0,D,70,15.22,27.0,38.57
8.0,E,11,17.22,4.0,36.36
5.0,D,167,15.65,59.0,35.33
11.0,E,9,17.81,3.0,33.33
12.0,E,6,16.96,2.0,33.33
14.0,E,3,17.14,1.0,33.33
15.0,D,9,14.96,3.0,33.33
18.0,D,3,15.72,1.0,33.33
19.0,D,3,16.49,1.0,33.33
20.0,NA,3,13.24,1.0,33.33
21.0,D,3,15.91,1.0,33.33
22.0,B,3,10.73,1.0,33.33
20.0,B,7,10.65,2.0,28.57
1.0,NA,195,11.38,47.0,24.1
13.0,D,13,15.42,3.0,23.08
17.0,D,9,15.57,2.0,22.22
17.0,NA,5,11.8,1.0,20.0
0.0,C,629,13.48,116.0,18.44
0.0,NA,300,10.93,55.0,18.33
1.0,C,427,13.35,73.0,17.1
7.0,F,6,17.84,1.0,16.67
10.0,E,6,17.51,1.0,16.67
17.0,C,6,13.34,1.0,16.67
21.0,C,6,13.46,1.0,16.67
2.0,NA,284,10.86,46.0,16.2
10.0,C,48,13.52,7.0,14.58
2.0,C,565,13.48,82.0,14.51
5.0,NA,223,10.24,32.0,14.35
16.0,D,7,15.41,1.0,14.29
17.0,B,14,10.99,2.0,14.29
4.0,NA,226,10.85,32.0,14.16
6.0,C,290,13.54,40.0,13.79
0.0,B,873,11.0,119.0,13.63
9.0,NA,96,10.13,13.0,13.54
7.0,C,249,13.59,33.0,13.25
3.0,NA,244,10.81,31.0,12.7
1.0,B,680,11.08,86.0,12.65
3.0,C,469,13.48,59.0,12.58
15.0,B,40,10.79,5.0,12.5
19.0,C,8,13.45,1.0,12.5
14.0,C,41,13.76,5.0,12.2
15.0,NA,17,9.18,2.0,11.76
6.0,NA,204,10.58,23.0,11.27
10.0,NA,45,10.11,5.0,11.11
13.0,C,45,13.63,5.0,11.11
21.0,A,9,7.51,1.0,11.11
9.0,C,146,13.42,16.0,10.96
11.0,NA,64,10.05,7.0,10.94
4.0,C,396,13.6,43.0,10.86
2.0,B,913,11.05,97.0,10.62
4.0,B,651,11.05,69.0,10.6
21.0,B,10,10.86,1.0,10.0
5.0,C,322,13.58,32.0,9.94
3.0,B,819,10.96,80.0,9.77
8.0,B,360,11.05,35.0,9.72
9.0,B,306,10.96,29.0,9.48
14.0,B,74,11.17,7.0,9.46
12.0,NA,43,9.85,4.0,9.3
5.0,B,859,11.03,76.0,8.85
8.0,C,154,13.52,13.0,8.44
7.0,NA,173,10.34,14.0,8.09
14.0,NA,25,9.55,2.0,8.0
11.0,C,76,13.39,6.0,7.89
6.0,B,610,11.05,47.0,7.7
1.0,A,489,7.59,37.0,7.57
0.0,A,895,7.57,61.0,6.82
10.0,B,119,11.03,8.0,6.72
2.0,A,775,7.46,51.0,6.58
7.0,B,551,11.02,36.0,6.53
3.0,A,816,7.31,53.0,6.5
11.0,B,148,11.05,9.0,6.08
16.0,NA,17,8.81,1.0,5.88
14.0,A,93,7.24,5.0,5.38
5.0,A,728,7.3,38.0,5.22
4.0,A,674,7.34,34.0,5.04
13.0,B,82,11.07,4.0,4.88
6.0,A,689,7.21,33.0,4.79
8.0,NA,128,10.29,6.0,4.69
12.0,A,180,7.2,8.0,4.44
15.0,C,23,13.48,1.0,4.35
12.0,B,126,10.87,5.0,3.97
12.0,C,53,13.54,2.0,3.77
15.0,A,60,7.17,2.0,3.33
17.0,A,30,7.02,1.0,3.33
8.0,A,484,7.27,15.0,3.1
9.0,A,335,7.27,10.0,2.99
10.0,A,168,7.39,5.0,2.98
7.0,A,600,7.24,17.0,2.83
13.0,NA,36,9.62,1.0,2.78
11.0,A,247,7.24,4.0,1.62
13.0,A,158,7.06,2.0,1.27
10.0,F,1,18.62,0.0,0.0
11.0,F,2,17.45,0.0,0.0
13.0,F,1,15.76,0.0,0.0
14.0,F,1,18.62,0.0,0.0
16.0,A,64,7.27,0.0,0.0
16.0,B,26,10.82,0.0,0.0
16.0,C,6,13.13,0.0,0.0
16.0,E,1,15.68,0.0,0.0
17.0,E,1,17.04,0.0,0.0
18.0,A,28,6.95,0.0,0.0
18.0,B,13,11.02,0.0,0.0
18.0,C,5,13.05,0.0,0.0
18.0,F,1,21.74,0.0,0.0
18.0,NA,5,10.48,0.0,0.0
19.0,A,7,7.17,0.0,0.0
19.0,B,5,11.1,0.0,0.0
19.0,F,1,18.78,0.0,0.0
19.0,NA,4,7.87,0.0,0.0
20.0,A,12,7.08,0.0,0.0
20.0,E,1,18.79,0.0,0.0
21.0,NA,4,9.02,0.0,0.0
22.0,A,3,6.4,0.0,0.0
22.0,C,1,14.65,0.0,0.0
22.0,D,1,14.84,0.0,0.0
23.0,A,3,7.82,0.0,0.0
23.0,B,1,9.63,0.0,0.0
23.0,D,1,14.61,0.0,0.0
24.0,A,4,6.99,0.0,0.0
24.0,B,2,10.09,0.0,0.0
24.0,NA,1,8.94,0.0,0.0
25.0,A,1,7.74,0.0,0.0
25.0,C,2,13.63,0.0,0.0
26.0,A,2,7.14,0.0,0.0
26.0,B,2,9.95,0.0,0.0
27.0,B,1,9.99,0.0,0.0
27.0,C,1,13.23,0.0,0.0
28.0,B,1,10.65,0.0,0.0
29.0,D,1,14.96,0.0,0.0
30.0,C,1,12.73,0.0,0.0
31.0,NA,2,9.43,0.0,0.0
35.0,A,1,5.42,0.0,0.0
39.0,NA,1,11.36,0.0,0.0
41.0,D,1,13.55,0.0,0.0
