Dataset,Task Type,Model,F1 Score
playground-series-s4e10,Biz Intelligence,string-matching,0.47058823529411764
playground-series-s4e10,Biz Intelligence,string-matching,0.8
playground-series-s4e10,Biz Intelligence,string-matching,1.0
playground-series-s4e10,Biz Intelligence,string-matching,0.8888888888888888
playground-series-s4e10,Biz Intelligence,string-matching,0.6666666666666666
playground-series-s4e10,Biz Intelligence,string-matching,0.5
playground-series-s4e10,Biz Intelligence,string-matching,0.7058823529411765
playground-series-s4e10,Biz Intelligence,string-matching,0.875
playground-series-s4e10,Biz Intelligence,string-matching,1.0
playground-series-s4e10,Biz Intelligence,string-matching,1.0
playground-series-s4e10,Development,string-matching,1.0
playground-series-s4e10,Development,string-matching,0.25
playground-series-s4e10,Development,string-matching,1.0
playground-series-s4e10,Development,string-matching,0.75
playground-series-s4e10,Development,string-matching,1.0
playground-series-s4e10,Development,string-matching,1.0
playground-series-s4e10,Development,string-matching,1.0
playground-series-s4e10,Development,string-matching,0.8888888888888888
playground-series-s4e10,Development,string-matching,1.0
playground-series-s4e10,Development,string-matching,1.0
playground-series-s4e10,Feature Eng.,string-matching,1.0
playground-series-s4e10,Feature Eng.,string-matching,1.0
playground-series-s4e10,Feature Eng.,string-matching,0.26666666666666666
playground-series-s4e10,Feature Eng.,string-matching,1.0
playground-series-s4e10,Feature Eng.,string-matching,1.0
playground-series-s4e10,Feature Eng.,string-matching,0.26666666666666666
playground-series-s4e10,Feature Eng.,string-matching,1.0
playground-series-s4e10,Feature Eng.,string-matching,0.16666666666666666
playground-series-s4e10,Feature Eng.,string-matching,0.6666666666666666
playground-series-s4e10,Feature Eng.,string-matching,1.0
playground-series-s4e10,Classif.,string-matching,0.9090909090909091
playground-series-s4e10,Classif.,string-matching,0.96
playground-series-s4e10,Classif.,string-matching,0.9166666666666666
playground-series-s4e10,Classif.,string-matching,0.9166666666666666
playground-series-s4e10,Classif.,string-matching,0.9565217391304348
playground-series-s4e10,Classif.,string-matching,0.9565217391304348
playground-series-s4e10,Classif.,string-matching,0.9411764705882353
playground-series-s4e10,Classif.,string-matching,0.9090909090909091
playground-series-s4e10,Classif.,string-matching,0.9411764705882353
playground-series-s4e10,Classif.,string-matching,0.9090909090909091
playground-series-s4e10,Regression,string-matching,0.9333333333333333
playground-series-s4e10,Regression,string-matching,0.96
playground-series-s4e10,Regression,string-matching,0.8695652173913043
playground-series-s4e10,Regression,string-matching,0.9333333333333333
playground-series-s4e10,Regression,string-matching,0.9333333333333333
playground-series-s4e10,Web Gen.,string-matching,0.9333333333333333
playground-series-s4e10,Web Gen.,string-matching,0.8571428571428571
playground-series-s4e10,Web Gen.,string-matching,0.8
playground-series-s4e10,Web Gen.,string-matching,0.9090909090909091
playground-series-s4e10,Web Gen.,string-matching,0.8571428571428571
playground-series-s4e10,Web Gen.,string-matching,0.8571428571428571
playground-series-s4e10,Web Gen.,string-matching,0.9230769230769231
playground-series-s4e10,Web Gen.,string-matching,0.9333333333333333
playground-series-s4e10,Web Gen.,string-matching,0.9230769230769231
playground-series-s4e10,Web Gen.,string-matching,0.9333333333333333
healthcare_dataset,Biz Intelligence,string-matching,0.4444444444444444
healthcare_dataset,Biz Intelligence,string-matching,0.9473684210526315
healthcare_dataset,Biz Intelligence,string-matching,0.8888888888888888
healthcare_dataset,Biz Intelligence,string-matching,1.0
healthcare_dataset,Biz Intelligence,string-matching,0.8571428571428571
healthcare_dataset,Biz Intelligence,string-matching,1.0
healthcare_dataset,Biz Intelligence,string-matching,1.0
healthcare_dataset,Biz Intelligence,string-matching,1.0
healthcare_dataset,Biz Intelligence,string-matching,1.0
healthcare_dataset,Biz Intelligence,string-matching,1.0
healthcare_dataset,Development,string-matching,0.4
healthcare_dataset,Development,string-matching,1.0
healthcare_dataset,Development,string-matching,1.0
healthcare_dataset,Development,string-matching,1.0
healthcare_dataset,Development,string-matching,1.0
healthcare_dataset,Development,string-matching,1.0
healthcare_dataset,Development,string-matching,1.0
healthcare_dataset,Development,string-matching,1.0
healthcare_dataset,Development,string-matching,1.0
healthcare_dataset,Development,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Feature Eng.,string-matching,1.0
healthcare_dataset,Classif.,string-matching,0.11764705882352941
healthcare_dataset,Classif.,string-matching,0.8235294117647058
healthcare_dataset,Classif.,string-matching,0.3333333333333333
healthcare_dataset,Classif.,string-matching,0.9090909090909091
healthcare_dataset,Classif.,string-matching,0.9090909090909091
healthcare_dataset,Classif.,string-matching,0.9333333333333333
healthcare_dataset,Classif.,string-matching,0.5454545454545454
healthcare_dataset,Classif.,string-matching,0.5
healthcare_dataset,Classif.,string-matching,0.3157894736842105
healthcare_dataset,Classif.,string-matching,0.6363636363636364
healthcare_dataset,Regression,string-matching,0.3157894736842105
healthcare_dataset,Regression,string-matching,0.3157894736842105
healthcare_dataset,Regression,string-matching,0.3157894736842105
healthcare_dataset,Regression,string-matching,0.11764705882352941
healthcare_dataset,Regression,string-matching,0.11764705882352941
healthcare_dataset,Web Gen.,string-matching,0.8888888888888888
healthcare_dataset,Web Gen.,string-matching,0.8
healthcare_dataset,Web Gen.,string-matching,0.2222222222222222
healthcare_dataset,Web Gen.,string-matching,0.9230769230769231
healthcare_dataset,Web Gen.,string-matching,0.8888888888888888
healthcare_dataset,Web Gen.,string-matching,0.8888888888888888
healthcare_dataset,Web Gen.,string-matching,0.8888888888888888
healthcare_dataset,Web Gen.,string-matching,0.8888888888888888
healthcare_dataset,Web Gen.,string-matching,0.8888888888888888
healthcare_dataset,Web Gen.,string-matching,0.8
