,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,info_0,success,success,,,,,,
1,info_1,success,success,,,,,,
2,info_2,success,success,,,,,,
3,info_3,success,success,,,,,,
4,info_4,success,success,,,,,,
5,info_5,success,success,,,,,,
6,info_6,success,success,,,,,,
7,info_7,success,success,,,,,,
8,info_8,success,success,,,,,,
9,info_9,success,success,,,,,,
