,Script,Execution Result on Clean Data,Execution Result on Corrupted Data,Model,Strategy,Passed Constraints (Clean),Passed Constraints (Corrupted),Failed Constraints (Clean),Failed Constraints (Corrupted)
0,regression_0,856965079.9135201,error,deequ,None,27.0,27.0,0.0,0.0
1,regression_0,856965079.9135201,error,deequ,column_skipped,23.0,23.0,0.0,0.0
2,regression_0,856965079.9135201,error,gpt-4o,None,6.0,6.0,0.0,0.0
3,regression_0,856965079.9135201,error,gpt-4o,with_deequ,4.0,4.0,0.0,0.0
4,regression_0,856965079.9135201,error,gpt-4o,with_experience,5.0,5.0,0.0,0.0
5,regression_0,856965079.9135201,error,tfdv,None,,,1.0,2.0
6,regression_1,806494915.2474382,813209545.6052068,deequ,None,27.0,27.0,0.0,0.0
7,regression_1,806494915.2474382,813209545.6052068,deequ,column_skipped,23.0,23.0,0.0,0.0
8,regression_1,806494915.2474382,813209545.6052068,gpt-4o,None,4.0,4.0,1.0,1.0
9,regression_1,806494915.2474382,813209545.6052068,gpt-4o,with_deequ,14.0,14.0,0.0,0.0
10,regression_1,806494915.2474382,813209545.6052068,gpt-4o,with_experience,18.0,18.0,0.0,0.0
11,regression_1,806494915.2474382,813209545.6052068,tfdv,None,,,1.0,2.0
12,regression_2,611581832.9741769,576746934.8545842,deequ,None,27.0,27.0,0.0,0.0
13,regression_2,611581832.9741769,576746934.8545842,deequ,column_skipped,23.0,23.0,0.0,0.0
14,regression_2,611581832.9741769,576746934.8545842,gpt-4o,None,5.0,5.0,1.0,1.0
15,regression_2,611581832.9741769,576746934.8545842,gpt-4o,with_deequ,3.0,3.0,0.0,0.0
16,regression_2,611581832.9741769,576746934.8545842,gpt-4o,with_experience,2.0,2.0,0.0,0.0
17,regression_2,611581832.9741769,576746934.8545842,tfdv,None,,,1.0,2.0
18,regression_3,206804322.68819192,206836846.0704604,deequ,None,27.0,27.0,0.0,0.0
19,regression_3,206804322.68819192,206836846.0704604,deequ,column_skipped,23.0,23.0,0.0,0.0
20,regression_3,206804322.68819192,206836846.0704604,gpt-4o,None,2.0,2.0,0.0,0.0
21,regression_3,206804322.68819192,206836846.0704604,gpt-4o,with_deequ,19.0,19.0,1.0,1.0
22,regression_3,206804322.68819192,206836846.0704604,gpt-4o,with_experience,17.0,17.0,0.0,0.0
23,regression_3,206804322.68819192,206836846.0704604,tfdv,None,,,1.0,2.0
24,regression_4,856901135.5944725,error,deequ,None,27.0,27.0,0.0,0.0
25,regression_4,856901135.5944725,error,deequ,column_skipped,23.0,23.0,0.0,0.0
26,regression_4,856901135.5944725,error,gpt-4o,None,2.0,2.0,0.0,0.0
27,regression_4,856901135.5944725,error,gpt-4o,with_deequ,11.0,11.0,0.0,0.0
28,regression_4,856901135.5944725,error,gpt-4o,with_experience,2.0,2.0,0.0,0.0
29,regression_4,856901135.5944725,error,tfdv,None,,,1.0,2.0
